v1,v2
ham,How abt making some of the pics bigger?
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
ham,"Just sent again. Do you scream and moan in bed, princess?"
ham,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
spam,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
ham,It's ok lar. U sleep early too... Nite...
ham,"Oh... Icic... K lor, den meet other day..."
ham,Aight sorry I take ten years to shower. What's the plan?
ham,Every monday..nxt week vl be completing..
ham,She doesnt need any test.
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk"
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
ham,"Goodnight, sleep well da please take care pa. Please."
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,What does the dance river do?
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_"
ham,I though we shd go out n have some fun so bar in town or something ÛÒ sound ok?
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
ham,Auntie huai juan never pick up her phone
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
ham,All e best 4 ur exam later.
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,Oh k.i think most of wi and nz players unsold.
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
ham,"Haha just kidding, papa needs drugs"
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
ham,Oh ok..
ham,No did you check? I got his detailed message now
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,cool. We will have fun practicing making babies!
ham,K..k..any special today?
ham,"I've got ten bucks, jay is being noncomittal"
ham,Pls speak to that customer machan.
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,No..few hours before.went to hair cut .
ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
ham,Lmao. Take a pic and send it to me.
ham,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)"""
ham,No. She's currently in scotland for that.
ham,Do you work all this week ?
ham,I'll be at mu in like  &lt;#&gt;  seconds
ham,Ok...
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
ham,Thanks for ve lovely wisheds. You rock
ham,I asked sen to come chennai and search for job.
ham,Dad went out oredi... 
ham,"Arms fine, how's Cardiff and uni? "
ham,In fact when do you leave? I think addie goes back to school tues or wed
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)"""
ham,Ya:)going for restaurant..
ham,DonÛ÷t give a flying monkeys wot they think and I certainly donÛ÷t mind. Any friend of mine and all that!
spam,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
ham,say thanks2. 
ham,Msg me when rajini comes.
ham,Stupid.its not possible
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL
ham,"Just sent you an email ÛÒ to an address with incomm in it, is that right?"
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
ham,Why you keeping me away like this
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
ham,Have you always been saying welp?
ham,"I'm a guy, browsin is compulsory"
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,"Sorry, I'll call later"
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
ham,I told your number to gautham..
ham,Tell them no need to investigate about me anywhere.
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,Oh my God. I'm almost home
ham,Total video converter free download type this in google search:)
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,K:)all the best:)congrats...
ham,I wonder if you'll get this text?
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham,Check wid corect speling i.e. Sarcasm
spam,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
ham,Should I have picked up a receipt or something earlier
ham,Horrible bf... I now v hungry...
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
ham,All sounds good. Fingers . Makes it difficult to type
ham,Midnight at the earliest
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,Now press conference da:)
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
ham,After completed degree. There is no use in joining finance.
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,Ok how you dear. Did you call chechi
ham,Yeah we do totes. When u wanna?
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
ham,Wat r u doing?
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
ham,Get ready to put on your excellent sub face :)
ham,Tmrw. Im finishing 9 doors
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
ham,"I shall book chez jules for half eight, if that's ok with you?"
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
ham,That's my honeymoon outfit. :)
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,Daddy will take good care of you :)
ham,"Yeah probably, I still gotta check out with leo"
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,Ok no prob... I'll come after lunch then...
ham,645
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
ham,Friends that u can stay on fb chat with
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
ham,Dear how you. Are you ok?
ham,Yes princess! I want to make you happy...
ham,Sounds like you have many talents! would you like to go on a dinner date next week?
ham,I am going to film 2day da. At 6pm. Sorry da.
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
ham,Yesterday its with me only . Now am going home.
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,Sleeping nt feeling well
ham,India have to take lead:)
ham,Thts wat Wright Brother did to fly..
ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry Û_ Head * ok but throat * wrecked. See you at six then!"
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
ham,ITS A LAPTOP TAKE IT WITH YOU.
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,S:-)if we have one good partnership going we will take lead:)
ham,"Yeah, where's your class at?"
ham,S but mostly not like that.
ham,ÌÏ v ma fan...
ham,Guess who spent all last night phasing in and out of the fourth dimension
ham,"Yes..but they said its IT.,"
ham,Very hurting n meaningful lines ever: \I compromised everything for my love
ham,Glad to see your reply.
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
ham,Nah dub but je still buff
ham,Painful words- \I thought being Happy was the most toughest thing on Earth... But
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
ham,Already am squatting is the new way of walking
ham,Cramps stopped. Going back to sleep
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,Bring tat cd don forget
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? 
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
ham,Please ask mummy to call father
ham,Just taste fish curry :-P
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...
ham,"(No promises on when though, haven't even gotten dinner yet)"
ham,Yeah I don't see why not
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James."
ham,There bold 2  &lt;#&gt; . Is that yours
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
ham,I went to project centre
ham,Doing project w frens lor. 
ham,Lol. Well quality aint bad at all so i aint complaining
ham,"K, can that happen tonight?"
ham,"I think we're going to finn's now, come"
ham,U guys never invite me anywhere :(
ham,I can do that! I want to please you both inside and outside the bedroom...
ham,I love to wine and dine my lady!
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
ham,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.
ham,DO NOT B LATE LOVE MUM
ham,Got it..mail panren paru..
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
ham,Give one miss from that number please
ham,Jus came back fr lunch wif my sis only. U leh?
ham,How is your schedule next week? I am out of town this weekend.
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
ham,Dont show yourself. How far. Put new pictures up on facebook.
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
ham,"I'm not coming over, do whatever you want"
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,No dear i do have free messages without any recharge. Hi hi hi
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,I dun believe u. I thk u told him.
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
ham,Yes:)sura in sun tv.:)lol.
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
ham,You bad girl. I can still remember them
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
ham,Can i get your opinion on something first?
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
ham,Do have a nice day today. I love you so dearly.
ham,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
ham,Do Ì_ all wan 2 meet up n combine all the parts? How's da rest of da project going?
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
ham,If you're thinking of lifting me one then no.
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?
ham,Sent me ur email id soon
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,May i call You later Pls
spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
ham,Hello- thanx for taking that call. I got a job! Starts on monday!
ham,What time is ur flight tmr?
ham,When should I come over?
ham,* Will be september by then!
ham,Are you wet right now?
ham,And how's your husband.
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
ham,Super da:)good replacement for murali
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,I dont want to hear philosophy. Just say what happen
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
ham,Then cant get da laptop? My matric card wif Ì_ lei... 
ham,They did't play one day last year know even though they have very good team.. Like india.
ham,K.:)you are the only girl waiting in reception ah?
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,"It could work, we'll reach a consensus at the next meeting"
ham,Aiyah then i wait lor. Then u entertain me. Hee...
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
ham,You call him now ok i said call him
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
ham,Or Ì_ go buy wif him then i meet Ì_ later can?
ham,"Aight, I'll text you when I'm back"
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
ham,I AM AT A PARTY WITH ALEX NICHOLS
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,No. On the way home. So if not for the long dry spell the season would have been over
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
ham,Probably earlier than that if the station's where I think it is
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
ham,"Aight, sounds good. When do you want me to come down?"
ham,I love working from home :)
ham,And miss vday the parachute and double coins??? U must not know me very well...
ham,"Sorry, I'll call later"
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,Wah... Okie okie... Muz make use of e unlimited... Haha... 
ham,"There're some people by mu, I'm at the table by lambda"
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
ham,ELLO BABE U OK?
ham,Then u going ikea str aft dat?
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
ham,Its not that time of the month nor mid of the time?
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
ham,No current and food here. I am alone also
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
ham,Ok
ham,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.
ham,Omg it could snow here tonite!
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,Carry on not disturbing both of you
ham,What pa tell me.. I went to bath:-)
ham,My planning usually stops at \find hella weed
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
ham,Can Ì_ call me at 10:10 to make sure dat i've woken up...
ham,Hey we can go jazz power yoga hip hop kb and yogasana 
ham,I cant pick the phone right now. Pls send a message
ham,Wait 2 min..stand at bus stop
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?
ham,Nah im goin 2 the wrks with j wot bout u?
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
ham,K...k:)why cant you come here and search job:)
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon 
ham,What's a feathery bowa? Is that something guys have that I don't know about?
ham,Even i cant close my eyes you are in me our vava playing umma :-D
ham,2 laptop... I noe infra but too slow lar... I wan fast one
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
ham,Nvm it's ok...
ham,Enjoy ur life. . Good night
ham,Delhi and chennai still silent.
ham,Lol alright i was thinkin that too haha
ham,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.
